neg_words,value
oblivious,-18.735217010082508
fromsoftwarehtc,-18.71699220006905
layoutbuttons,-18.71058092532231
fauxrubber,-18.68743445564502
deep,-18.663771876518418
phne,-18.66343314518307
off됛his,-18.63018561089793
depth,-18.612648640593427
street,-18.59426971155757
avoid,-18.58673653445184
boxed,-18.583951718906864
impact,-18.51965029618855
expectinv,-18.50113154753155
stick,-18.500924052385194
elsedont,-18.494705137095675
erases,-18.48726139135849
tracfonetracfone,-18.483556146767317
biased,-18.45394799450027
advertised,-18.38212332131349
plethora,-18.36190494842808
goodthe,-18.35086508695291
bar,-18.29290406602327
macro,-18.28280285583941
casual,-18.212029838665227
ampm,-18.191195441685547
files,-18.149183169159134
surf,-18.106806469875554
dialing,-18.07345511824628
focus,-18.056308230040194
leastto,-18.041915584458046
masses,-18.02532566093656
pathetically,-17.97858577849904
pleaseeeee,-17.963667978866173
washed,-17.935946427437234
officially,-17.929933536922082
expiration,-17.874316014586718
withwithout,-17.84290460412607
caller,-17.831069975833135
greatcall,-17.829327098150813
mototola,-17.82600554590619
blew,-17.810734973605296
recharge,-17.797201365276
buyer,-17.666777327539588
swap,-17.665408932314808
glancethe,-17.66437666531106
kraemer,-17.597640577396916
andwont,-17.59039998590823
attempt,-17.540086302642298
accepting,-17.53318146690485
evolutionary,-17.523061400521367
notes,-17.521640897499953
thatbottom,-17.520979045470387
red,-17.486113397578954
explorer,-17.45782851405377
rfrkaceorbb,-17.42464692665437
contacted,-17.37711383127136
everi,-17.369306857754655
downhill,-17.35883962745494
dreaded,-17.358084406767365
corning,-17.292091288444485
decision,-17.25271951112655
byeno,-17.247682927017266
sway,-17.24004825706589
chargers,-17.239990106256357
makers,-17.182423533085103
finest,-17.152392020419004
buzz,-17.101228132296292
multi,-17.05048029875922
depressing,-17.01278115001461
ebooks,-16.994492640919926
correctly,-16.98545373827669
displays,-16.973685420892334
cancels,-16.940589904060246
kindly,-16.93035023982221
furry,-16.90696562166801
gama,-16.877171284200724
horribly,-16.86611472041571
experiencing,-16.86257972175679
escape,-16.8489937385877
drove,-16.843690387457425
greathigh,-16.81162151082352
negativeexternal,-16.750262911415437
government,-16.738887319231846
modems,-16.720141778824534
batery,-16.715747733545818
maintenence,-16.710826145800986
heck,-16.694208663737097
