custid,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,n_distinct(prod),ct_cov,vdays,day_mean_amt,day_cov,first_cnt.prod,second_cnt.prod,third_cnt.prod,first_money.prod_ct,second_money.prod_ct,third_money.prod_ct
C1339,0,0.66,0,0,0.16,0,0,0,0,0.19,0,0.27,31890,3,0.34,0.66,0,0.34,0.66,0,0,0,0,0,3,2.1014023980973944,2,15945,0.4483442808275946,minorcereals,sanitaryproducts,softdrinks,drink,snack,house_prod
C1341,0,0,0.55,0,0.45,0,0,0,0,0,0,0.18,6590,2,0,1,0,0,0,0,1,0,0,0,2,2.132398888138291,1,6590,0,hairproducts,ramen,NA,fastfood,house_prod,NA
C1342,0,0,0,1,0,0,0,0,0,0,0,0.09,1990,1,0,1,0,0,0,0,1,0,0,0,1,3.162277660168379,1,1990,0,fruitvegetables,NA,NA,fruite,NA,NA
C1343,0.02,0,0.43,0.15,0,0,0.13,0,0.11,0.02,0.14,0.64,111871,15,0.58,0.4,0.02,0.13,0.07,0,0,0.15,0.02,0.62,10,1.3646711377400131,10,11187.1,0.8283422926935631,lattuce,otherreadymadefoods,koreanbeef,fastfood,fruite,vegetable
C1344,0.07,0.09,0,0.1,0.09,0,0.15,0.05,0,0.11,0.34,0.73,43630,16,0.59,0.25,0.16,0.13,0,0.32,0.15,0.24,0.07,0.08,14,1.0219237279188544,12,3635.8333333333335,0.8097129611244144,othervegetables,babyproducts,beans,vegetable,meat,snack
C1345,0.2,0,0,0.53,0,0,0,0,0,0.18,0.1,0.36,20350,5,1,0,0,0,1,0,0,0,0,0,5,1.7195755394454046,2,10175,0.11188618355875593,cereals,fermentedmilk,fruitvegetables,fruite,dairy,snack
C1346,0.07,0,0.12,0,0,0,0,0,0.46,0.12,0.23,0.45,45390,11,0,0.81,0.19,0,0.23,0,0,0.19,0,0.58,9,1.5143341454325752,4,11347.5,0.30646131687269257,eidbleherbs,snacks,cooky/cakes,seafood,vegetable,fastfood
C1347,0,0,0.1,0.27,0,0,0.22,0,0,0.17,0.24,0.45,40844,6,0.31,0.42,0.27,0.43,0,0.06,0.24,0.27,0,0,6,1.1870203195191318,5,8168.8,0.44514426017570596,instantfoods,koreanbeef,mandarinorange/watermelonandotherfruits,fruite,vegetable,meat
C1348,0,0.27,0,0,0,0,0,0,0,0,0.73,0.18,9570,3,0,0.31,0.69,0,0.42,0,0.27,0,0.31,0,2,2.376307425099896,3,3190,0.22301161644930922,beans,harddrinks,NA,vegetable,drink,NA
C1349,0,0,0.22,0.11,0.67,0,0,0,0,0,0,0.27,18800,3,0,0,1,0,0,0,0,0,1,0,3,2.148146052343763,1,18800,0,cookingoil,fruitvegetables,noodles,house_prod,fastfood,fruite
C1350,0.21,0.41,0,0,0,0,0,0,0,0.03,0.35,0.36,23570,6,0,1,0,0,0.41,0,0,0,0,0.59,5,1.6332469631278748,5,4714,0.6381721251488693,beans,coffee,cooky/cakes,drink,vegetable,dairy
C1351,0.11,0.07,0.09,0.05,0.14,0.01,0.24,0.02,0.21,0,0.06,0.91,138718,38,0.02,0.63,0.35,0.09,0.02,0.33,0.05,0.28,0.07,0.15,25,0.8331494543002123,20,6935.9,0.7843015749111022,chilledseafood,eidbleherbs,livefish,meat,seafood,house_prod
C1352,0.27,0.04,0.27,0,0,0,0.42,0,0,0,0,0.36,23600,5,0,0.13,0.87,0,0,0,0.09,0,0.04,0.87,5,1.6072349485477788,3,7866.666666666667,1.3964897692671834,fastfoods,fermentedmilk,frozenmeat,meat,dairy,fastfood
C1353,0,0,1,0,0,0,0,0,0,0,0,0.09,3050,1,0,1,0,0,1,0,0,0,0,0,1,3.162277660168379,1,3050,0,ramen,NA,NA,fastfood,NA,NA
C1354,1,0,0,0,0,0,0,0,0,0,0,0.09,2700,1,1,0,0,0,0,0,0,1,0,0,1,3.162277660168379,1,2700,0,milk,NA,NA,dairy,NA,NA
C1356,0.36,0.05,0.24,0,0.12,0,0.08,0.02,0.03,0,0.1,0.73,86392,18,0.19,0.61,0.21,0.17,0.18,0.2,0.11,0,0.09,0.26,14,1.1918940257474244,9,9599.111111111111,0.5485881704760631,fermentedmilk,milk,mushrooms,dairy,fastfood,house_prod
C1357,0,0.34,0.27,0,0,0,0,0,0,0.14,0.25,0.36,18430,7,0,1,0,0.73,0,0.27,0,0,0,0,5,1.4097481777250915,4,4607.5,0.878576158223616,softdrinks,bakery,beans,drink,fastfood,vegetable
C1358,0,0,0,0.53,0,0,0,0,0,0,0.47,0.18,14960,4,0,1,0,0,0,0,0,0,0,1,4,2.12710491940493,2,7480,0.47266496068619485,banana/importedfruits,eidbleherbs,rootvegetables,fruite,vegetable,NA
C1359,1,0,0,0,0,0,0,0,0,0,0,0.09,9030,2,0.92,0,0.08,0,0,0,0.08,0.92,0,0,2,3.162277660168379,2,4515,1.179294365965604,chilleddairymilks,powderedmilk,NA,dairy,NA,NA
C1360,0.17,0.26,0.31,0,0.04,0,0.07,0.07,0,0.03,0.05,0.73,138600,23,0.13,0.49,0.38,0,0.04,0.07,0.26,0.24,0,0.39,19,1.1209750269782197,12,11550,0.7739641663713548,cheese/butter,otherreadymadefoods,artificialpowders,fastfood,drink,dairy
C1362,0,0.53,0.47,0,0,0,0,0,0,0,0,0.18,8600,3,0,0,1,0,0,1,0,0,0,0,2,2.127621025392126,2,4300,0.7235511249350719,harddrinks,bottledfoods,NA,drink,fastfood,NA
C1363,0,0,0.47,0,0,0,0,0,0,0.53,0,0.18,20400,2,0.47,0,0.53,0,0,0,0,0.47,0,0.53,2,2.127417095600758,2,10200,0.09705387192756534,instantfoods,minorcereals,NA,snack,fastfood,NA
C1366,0.29,0,0,0.32,0.05,0,0.04,0,0,0.23,0.07,0.55,119570,28,0.11,0.74,0.14,0.11,0.09,0.18,0,0.33,0.12,0.16,18,1.3151891694737494,18,6642.777777777777,0.43935486163492354,chinesecabbages,cooky/cakes,fruitvegetables,fruite,dairy,snack
C1367,0,0,0,0,0,0,0.75,0.25,0,0,0,0.18,11858,2,0,1,0,0,0,0,0,1,0,0,2,2.4189763993834954,1,11858,0,ketchupandmayoneise,koreanpork,NA,meat,sauce,NA
C1368,0.29,0.08,0,0,0,0,0.08,0,0.27,0.19,0.08,0.55,72310,19,0,1,0,0.4,0,0.28,0.07,0,0,0.25,9,1.1821861802159774,10,7231,0.6582105057703052,bakery,milk,lattuce,dairy,seafood,snack
C1369,0.02,0.39,0.34,0,0.04,0,0,0,0,0.21,0,0.45,93730,18,0.23,0.5,0.28,0,0.04,0.17,0.05,0.16,0.43,0.16,10,1.5726275099466616,11,8520.90909090909,0.8687209395348302,snacks,softdrinks,otherreadymadefoods,drink,fastfood,snack
C1370,0.14,0.05,0.08,0.46,0,0.01,0.08,0,0.08,0.02,0.07,0.82,93758,18,0.19,0.56,0.25,0.22,0.04,0.05,0.1,0.15,0.44,0,16,1.3670835142632052,10,9375.8,0.9844976841659725,fruitvegetables,milk,beans,fruite,dairy,seafood
C1371,0,0,0,0,0.13,0,0,0,0,0.87,0,0.18,80800,2,0,0.13,0.87,0,0.13,0,0,0.87,0,0,2,2.7262685697992106,2,40400,1.0326559428219382,laundrydetergent,maincereals,NA,snack,house_prod,NA
C1373,0,1,0,0,0,0,0,0,0,0,0,0.09,14900,1,1,0,0,1,0,0,0,0,0,0,1,3.16227766016838,1,14900,0,coffee,NA,NA,drink,NA,NA
C1375,0.19,0.11,0,0,0.23,0,0,0,0,0.22,0.25,0.45,14620,7,0,0.67,0.33,0,0.1,0,0.33,0.11,0,0.46,7,1.1532573710190883,6,2436.6666666666665,0.40936669647517726,beans,chilledagriculturalproducts,harddrinks,vegetable,house_prod,snack
C1376,0.02,0.06,0.08,0.17,0.05,0,0.16,0.09,0.08,0.22,0.08,0.91,195241,46,0,0.04,0.96,0.15,0.23,0.06,0.41,0.05,0.04,0.06,29,0.7001549921516371,23,8488.739130434782,0.9509699439358962,cooky/cakes,banana/importedfruits,beans,snack,fruite,meat
C1377,0,0,0.33,0,0,0,0.67,0,0,0,0,0.18,10430,2,1,0,0,0,1,0,0,0,0,0,2,2.264951270139249,1,10430,0,frozendumpling,ramen,NA,meat,fastfood,NA
C1378,0,0,0.26,0,0,0.3,0,0,0.45,0,0,0.27,23480,3,0.45,0.55,0,0.3,0,0,0,0.26,0.45,0,3,1.699746437575394,3,7826.666666666667,0.3016802618405621,bottledfoods,cosmetics,otherlivefish,seafood,makeup,fastfood
